ID,French Sentences,semantic role,syntactic position,wh-structure,trace position,status,gold_ratings
X13,"a. Ursule explique à Joseph comment elle compte lui faire parvenir des messages en lançant des bouteilles à la mer. Intrigué, Joseph demande : b. Comment veux-tu que je te réponde ?",,,,,baseline,4.3
X14,a. Arthur se méfie de sa femme. Il demande à Ernestine : b. À quelle heure est-elle sortie de chez toi ?,,,,,baseline,4.9
X15,a. Matthieu se promène avec un ami dans le bois derrière sa maison. L’ami est un peu perdu et ne reconnaît rien. Matthieu lui montre un chemin sur leur droite et dit : b. C’est le chemin qu’on l’a pris déjà ce matin.,,,,,baseline,0.4
X16,a. On a mis les petites filles en rang et on leur a posé des questions. L’un d’eux insiste : b. C’est la première qu’elle a bien répondu.,,,,,baseline,0.5
X17,a. Marcel veut envoyer une carte à son patron. Elle lui dit : b. On a une carte que elle pourrait convenir.,,,,,baseline,0.2
X18,"a. La maîtresse cherche une nouvelle méthode pour décourager les enfants de sa classe de mal se comporter. Elle leur annonce : b. Ce matin, on lavera celui qui rouspète un mensonge.",,,,,baseline,0.1
X19,"a. Emilie voit un grand chien noir dans la rue. Étonnée, elle se tourne vers sa tante et s’exclame : b. C’est le chien que je l’ai vu chez toi.",,,,,baseline,0.3
X20,a. Lucas essaye de faire un tour de magie pour ses amis. Il annonce : b. Il y a un truc dont je le connais.,,,,,baseline,0.1
X21,"a. Deux mamans inquiètes discutent à la sortie de l'école. b. Est-ce qu'ils t'ont dit qui, dans ton quartier, avait un casier judiciaire ?",Locative,Dislocated object,Embedded question,Subject,critical,4.5
X22,"a. Myriam a entendu un bruit suspect ce matin. Elle demande à son mari : b. Est-ce que tu sais qui, ce matin, est sorti par la porte de derrière ?",Locative,Dislocated object,Embedded question,Subject,critical,3.6
X23,"a. Depuis qu’elle est pensionnée, la sœur d’Armande voyage sans arrêt. Armande, amusée, en parle avec une amie. Elle dit : b. Je me demande où, cette semaine, elle a bien pu aller.",Locative,Dislocated object,Embedded question,Adjunct,critical,1.8
X24,"a. Les employées de la poste s’inquiètent pour leur avenir. Julie a parlé avec la chef de service pendant la pause-café. En revenant dans son bureau, elle annonce à son collègue : b. Elle m’a dit qu’elle savait ce que demain on nous annoncera.",Locative,Dislocated object,Embedded question,Complement of V,critical,2.8
X25,"a. Julie est déprimée. Elle est allée voir un psychologue. Elle lui explique : b. Il y a un truc que, dans mon travail, j’aime pas du tout.",Locative,Dislocated object,Relative clause,Complement of V,critical,2.8
X26,"a. Miss Marple est allée interroger la concierge sur les habitudes étranges de la locataire du deuxième étage. La concierge lui dit, d’un ton inquiet : b. Elle a un chien qui, le soir, se transforme en chat.",Locative,Dislocated object,Relative clause,Subject,critical,4.3
X27,a. La maman de Zéphir montre à une amie un vélo rouge dans la vitrine. Elle lui dit : b. Voilà le vélo que depuis toujours il rêve d’essayer.,Locative,Dislocated object,Relative clause,Complement of V,critical,3.9
X28,"a. Bruno est figurant dans un film à petit budget. Il raconte à son ami Nicolas : b. On jouait dans un film que, dans quelques années, personne ne regardera plus.",Locative,Dislocated object,Relative clause,Complement of V,critical,2.5
X29,"a. Anne essaye d’organiser un souper pour l’anniversaire du patron de son mari, qui est un homme fort pris. Elle lui dit, perplexe : b. Je me demande quand, ton patron, on pourra l’inviter.",Goal,Dislocated object,Embedded question,Adjunct,critical,1.6
X30,"a. Très fier, Yakari explique à son ami Graine-de-Bison : b. J’ai vu où, le loup, ils l’ont traqué.",Goal,Dislocated object,Embedded question,Adjunct,critical,-2.4
X31,"a. Après les essais de vol, on analyse les données pour évaluer la performance de l’apprenti-pilote. L’analyste demande au co-pilote : b. Tu as vu qui, le pilote, l’a fait sursauter ?",Experiencer,Dislocated object,Embedded question,Subject,critical,-3.9
X32,"a. Le policier raconte fièrement à sa femme comment ils ont capturé un des associés d’Al Capone : b. Tu sais quand le voleur, on l’a surpris ?",Experiencer,Dislocated object,Embedded question,Adjunct,critical,0.6
X33,"a. Joséphine a préparé une surprise pour ses clientes. Une de ses amies est dans le coup et a raconté la farce à son mari. Il lui demande : b. Elle t’a dit quand, ses clientes, elle comptait les surprendre ?",Experiencer,Dislocated object,Embedded question,Adjunct,critical,-0.1
X34,"a. Il n’y a plus qu’une secrétaire dans la petite firme, et tout le monde se l’arrache. Elsa demande à la patronne : b. Elle t’a dit quand, les commandes, elle pourrait les passer ?",Theme,Dislocated object,Embedded question,Adjunct,critical,0.7
X35,"a. On cherche des témoins pour élucider la disparition de Marie et Lazare. On interroge la concierge, qui répond, désolée : b. Je ne sais pas qui, Marie, l’a vue.",Theme,Dislocated object,Embedded question,Subject,critical,-4.0
X36,"a. Les collègues de Marie la cherchent partout. La patronne interroge le réceptionniste, qui lui répond : b. Je ne sais pas qui, Marie, l’a vue ce matin.",Theme,Dislocated object,Embedded question,Subject,critical,-4.2
X37,"a. Paola explique à son amie pourquoi elle n’aime pas travailler à l’hôpital : b. Ce qui, moi, me dérange le plus, c’est l’odeur.",Experiencer,Dislocated object,Relative clause,Subject,critical,4.4
X38,"a. Pierre se vante à son ami de ses exploits et de ceux de ses frères. Il déclare : b. J’ai vu la forêt où, le loup, ils l’ont traqué.",Goal,Dislocated object,Relative clause,Adjunct,critical,-1.3
X39,"a. Victoria feuillette un magazine avec son amie. En poussant un soupir, elle lui montre une page et dit : b. Voilà le bateau qui, moi, m’a toujours fait rêver.",Experiencer,Dislocated object,Relative clause,Subject,critical,4.5
X40,"a. Flore a surpris Paul en train de commettre un crime dans un hôtel de Belgrade. L’interprète explique aux policiers : b. Elle ne connaît pas l’hôtel où, Paul, elle l’a surpris.",Experiencer,Dislocated object,Relative clause,Adjunct,critical,-2.9
X42,"a. Cécile est à un colloque dans le nord de la Norvège et cherche un endroit où manger des sushi le dimanche après-midi. Elle interroge Sharon, qui lui répond : b. Je ne connais pas d’hôtel où, des sushi, tu pourrais en manger.",,Dislocated object,Relative clause,Adjunct,critical,-2.6
X43,"a. Après avoir montré les médailles d’or au maire, le guide conduit dans le gymnase et chuchote : b. Voici les athlètes qui, les médailles d’or, les ont remportées.",,Dislocated object,Relative clause,Subject,critical,-4.8
X44,"a. L’équipe de gymnastique de Lyon a remporté trois médailles d’or. Le guide annonce fièrement : b. Voici les médailles que, les athlètes, ils sont fiers d’avoir remportées.",Experiencer,Dislocated subject,Relative clause,Complement of V,critical,-0.7
X45,"a. Sophie consulte un psychologue avec sa fille, qui fait de terribles cauchemars. Une amie commente : b. Elle n’a jamais dit qui, sa petite fille, l’avait tant effrayée.",Experiencer,Dislocated object,Embedded question,Subject,critical,-3.5
X46,"a. Luc voudrait que sa mère lui achète des bottes. Il essaye de lui expliquer : b. Tu sais, les énormes bottes comme Jean-Marc, il a.",Experiencer,Dislocated subject,Relative clause,Complement of V,critical,1.5
X47,"a. Arthur explique à son fils les jalousies entre différents corps de métier. Il lui demande : b. Tu sais qui, les plombiers, ils envient ?",Experiencer,Dislocated subject,Embedded question,Complement of V,critical,1.5
X48,"a. Tom rêve d’entrer à l’école du cirque. Il demande à sa maman : b. Tu sais comment, les équilibristes, ils arrivent à marcher sur un fil ?",Actor,Dislocated subject,Embedded question,Adjunct,critical,2.2
X49,"a. Jaco enregistre le petit Léo, qui est fasciné par l’enregistreur. Jaco répond : b. Elle enregistre ce que, toi, tu dis.",Actor,Dislocated subject,Relative clause,Complement of V,critical,4.2
X50,"a. Le coiffeur Léon se remémore sa clientèle bigarrée : b. J’avais un philosophe, un type dont la matière principale, c’est la philosophie.",Theme,Dislocated subject,Relative clause,Complement of V,critical,1.0
X51,"a. Certaines rues du quartier des Trois Mégots sont devenues dangereuses. Madame Machin déclare : b. J’habite la rue où, le laitier, il refuse de venir.",Actor,Dislocated subject,Relative clause,Adjunct,critical,0.8
X52,"a. Marie retrouve son amie Agnès pour la féliciter du succès de son mari. Elle lui dit : b. J’ai vu l’exposition que, ton mari, il organise.",Actor,Dislocated subject,Relative clause,Complement of V,critical,0.7
X53,"a. Louis veut inviter Amandine à boire un verre. Elle suggère : b. J’aime le café où, tes collègues, ils m’ont emmenée.",Actor,Dislocated subject,Relative clause,Complement of V,critical,1.0
X54,"a. Gaston et ses amis font une chasse au trésor. Gaston déclare : b. Ça doit être l’escalier que, les autres, ils ont pris.",Actor,Dislocated subject,Relative clause,Complement of V,critical,0.4
X55,"a. Madame Hanne a fait des pommes au four. Elle dit à Jacqueline : b. C’est le dessert que, les enfants, ils aiment le mieux.",Experiencer,Dislocated subject,Relative clause,Complement of V,critical,0.6
X56,"a. Francis et Léa planchent sur un exercice de math. Francis va voir son père : b. Voilà un exercice que, nous, on n’arrive pas à faire.",Experiencer,Dislocated subject,Relative clause,Adjunct,critical,4.1
X57,"a. Le ministre de la culture parle avec un journaliste : b. Tu sais qui, le monde entier, nous envie ?",Experiencer,Dislocated subject,Embedded question,Complement of V,critical,2.2
X58,"a. Pauline s’inquiète pour une soirée à l’opéra avec les collègues de sa sœur. Elle demande : b. Je peux te demander qui, tes collègues, veulent inviter ?",Actor,Heavy subject,Embedded question,Complement of V,critical,4.1
X59,"a. Natacha doit vider le grenier de sa grand-mère. Une amie lui demande : b. As-tu songé à qui, ces vieux objets, feraient plaisir ?",Actor,Heavy subject,Embedded question,Complement of V,critical,4.5
X60,"a. Carine cherche ses enfants dans le jardin. Elle dit : b. Je me demande où, Sébastien, a bien pu passer.",Actor,Heavy subject,Embedded question,Complement of V,critical,4.6
X61,"a. Une journaliste est venue à l’école pour enregistrer les enfants. La prof répond à une élève : b. Elle enregistre ce que, les enfants, disent.",Actor,Heavy subject,Relative clause,Complement of V,critical,5.0
X62,"a. L’histoire du vol des bijoux de Bianca fait la une. L’imprésario montre la une au chauffeur : b. Tu as vu ce que, les journalistes, ont fait de cette histoire ?",Actor,Heavy subject,Relative clause,Complement of V,critical,4.7
X63,"a. Loreline a besoin d’aide pour transporter son piano. Elle explique : b. J’habite la rue où, Nicolas, refuse de se garer.",Actor,Heavy subject,Relative clause,Adjunct,critical,3.2
X64,"a. Chloé essaye de convaincre une cliente d’acheter une poupée. Elle dit : b. C’est une poupée que, les collectionneurs, s’arracheraient.",Actor,Heavy subject,Relative clause,Complement of V,critical,4.8
X65,"a. Jacques essaye de retenir Maddy avec des promesses. Il promet : b. Je te donnerai des bijoux que, la reine, t’envierait.",Experiencer,Heavy subject,Relative clause,Complement of V,critical,3.9
X67,"a. Zoé est impatiente de rencontrer le patron de son mari. Elle dit : b. Je me demande quand, ton patron, il va nous inviter.",Actor,Dislocated subject,Embedded question,Adjunct,critical,2.6
X68,"a. Le cardinal s'indigne devant l'irrespect du portier. Il explose : b. Au pape, personne n’oserait lui parler ainsi.",,,,,baseline,3.0
