wordPairs,English Translation,PairMeanConcreteness,clusters,assocStrength,MeanPairSimilarity,SD,min,max,median,range,skewness,Q1,Q3,primeWord,PrimeMeanConcreteness,SD,min,max,median,range,skewness,Q1,Q3,gramCat,nbletters,orthNeighbours,old20,FLP_RT,MegalexRT,MovieFrequency,BookFrequency,BlogFreqPm,TwitterFreqPm,NewsFreqPm,targetWord,TargetMeanConcreteness,SD,min,max,median,range,skewness,Q1,Q3,gramCat,nbletters,orthNeighbours,old20,FLP_RT,Megalex_RT,MovieFrequency,BookFrequency,BlogFreqPm,TwitterFreqPm,NewsFreqPm
agitation-troubles,agitation trouble,"3,63","1,00",NA,"4,20","1,71","1,00","7,00","5,00","6,00","-0,38","3,00","6,00",agitation,"4,02","1,88","1,00","7,00","4,00","6,00","-0,10","2,25","5,75",NOM,"9,00","0,00","2,40","714,74","615,15","4,46","20,07","7,34","1,52","7,13",troubles,"3,23","1,70","1,00","7,00","3,00","6,00","0,56","2,00","4,00",ADJ,"8,00","3,00","1,70","647,48","526,29","1,21","4,86","21,69","3,21","32,00"
agiter-secouer,agitate shake,"4,00","2,00","0,09","5,90","1,17","2,00","7,00","6,00","5,00","-1,20","5,00","7,00",agiter,"3,24","1,74","1,00","7,00","3,00","6,00","0,64","2,00","4,00",VER,"6,00","3,00","1,75","679,17","553,93","2,72","11,89","4,34","1,63","1,90",secouer,"4,76","1,81","1,00","7,00","5,00","6,00","-0,60","4,00","6,00",VER,"7,00","2,00","1,75","697,88","569,13","4,50","14,19","5,79","3,21","2,10"
agriculteur-chasseur,farmer hunter,"6,26","3,00",NA,"2,07","1,51","1,00","6,00","1,00","5,00","1,14","1,00","3,00",agriculteur,"6,32","0,79","4,00","7,00","6,00","3,00","-0,96","6,00","7,00",NOM,"11,00","0,00","3,45",NA,NA,"0,42","0,54","3,52","2,13","7,95",chasseur,"6,20","1,13","3,00","7,00","7,00","4,00","-1,53","6,00","7,00",NOM,"8,00","1,00","1,75","665,80","524,27","21,27","23,58","8,25","4,88","7,95"
aigle-faucon,eagle falcon,"6,85","3,00","0,01","4,80","1,71","1,00","7,00","5,00","6,00","-1,02","4,00","6,00",aigle,"6,88","0,33","6,00","7,00","7,00","1,00","-2,43","7,00","7,00",NOM,"5,00","7,00","1,55","643,48","526,06","5,50","7,91","5,95","1,41","2,08",faucon,"6,81","0,59","4,00","7,00","7,00","3,00","-3,92","7,00","7,00",NOM,"6,00","0,00","1,90","692,00","627,36","4,07","2,36","1,33","1,16","1,37"
album-classeur,album binder,"6,44","3,00",NA,"3,77","1,67","1,00","7,00","4,00","6,00","-0,19","3,00","5,00",album,"6,23","0,89","4,00","7,00","6,00","3,00","-0,93","6,00","7,00",NOM,"5,00","0,00","2,05","616,96","530,51","9,36","13,31","120,22","191,31","49,31",classeur,"6,66","0,68","4,00","7,00","7,00","3,00","-2,37","6,50","7,00",NOM,"8,00","1,00","1,80","627,78","535,01","0,56","1,35","1,58","1,34","0,26"
algèbre-maths,algebra maths,"3,97","2,00","0,16","5,28","1,64","1,00","7,00","6,00","6,00","-1,06","5,00","6,50",algèbre,"3,73","1,87","1,00","7,00","4,00","6,00","-0,10","2,00","5,00",NOM,"7,00","0,00","2,90","717,08","738,03","1,37","2,03","0,36","0,47","0,09",maths,"4,21","2,04","1,00","7,00","4,00","6,00","-0,13","3,00","6,00",NOM,"5,00","4,00","1,65","624,61","517,82","10,66","3,38","4,91","45,33","3,98"
alias-pseudonyme,alias pseudonym,"3,63","1,00",NA,"5,47","1,50","1,00","7,00","6,00","6,00","-1,12","5,00","7,00",alias,"3,05","2,00","1,00","7,00","3,00","6,00","0,76","1,00","4,00",ADV,"5,00","5,00","1,75","661,55","640,05","5,45","3,85","11,04","8,60","7,37",pseudonyme,"4,21","1,98","1,00","7,00","5,00","6,00","-0,33","2,00","6,00",NOM,"10,00","0,00","4,45","772,20",NA,"1,46","3,38","4,34","0,79","2,28"
allégorie-métaphore,allegory metaphor,"2,42","1,00",NA,"4,11","1,83","1,00","7,00","4,00","6,00","-0,34","3,00","5,00",allégorie,"2,34","1,49","1,00","7,00","2,00","6,00","1,32","1,00","3,00",NOM,"9,00","0,00","3,00","818,28","716,43","0,38","1,15","2,73","0,58","0,50",métaphore,"2,50","1,92","1,00","7,00","2,00","6,00","1,37","1,00","3,00",NOM,"9,00","0,00","3,15","714,64","607,39","4,04","1,89","8,80","4,41","2,98"
alphabet-chiffre,alphabet number,"5,39","2,00",NA,"2,84","1,92","1,00","7,00","3,00","6,00","0,63","1,00","4,00",alphabet,"5,43","1,88","1,00","7,00","6,00","6,00","-1,14","4,75","7,00",NOM,"8,00","0,00","3,65","807,27","614,17","3,14","4,39","5,34","2,06","0,41",chiffre,"5,34","2,02","1,00","7,00","7,00","6,00","-0,79","4,00","7,00",NOM,"7,00","1,00","1,75","604,05","532,16","9,38","12,70","32,58","26,62","174,87"
altruisme-bonté,altruism kindness,"2,69","1,00","0,09","4,74","1,75","1,00","7,00","5,00","6,00","-0,72","4,00","6,00",altruisme,"2,47","1,54","1,00","7,00","2,00","6,00","1,39","1,00","3,00",NOM,"9,00","1,00","2,75","853,16","647,26","0,31","0,74","2,21","0,54","0,70",bonté,"2,90","1,68","1,00","7,00","2,00","6,00","0,90","2,00","4,00",NOM,"5,00","7,00","1,60","757,27","584,93","17,31","18,65","8,04","2,67","0,96"
ambassade-consulat,ambassy consulate,"4,95","2,00",NA,"5,08","1,59","1,00","7,00","5,00","6,00","-1,01","4,00","6,00",ambassade,"5,33","1,71","2,00","7,00","6,00","5,00","-0,69","4,00","7,00",NOM,"9,00","0,00","2,80","772,27","636,86","8,85","13,38","11,19","6,54","28,85",consulat,"4,56","2,16","1,00","7,00","5,00","6,00","-0,46","3,00","7,00",NOM,"8,00","0,00","1,95","871,33","671,48","3,77","1,96","1,88","2,06","3,92"
ambition-désir,ambition desire,"3,22","1,00","0,05","3,94","1,61","1,00","7,00","4,00","6,00","-0,19","3,00","5,00",ambition,"2,85","1,39","1,00","7,00","3,00","6,00","0,92","2,00","3,00",NOM,"8,00","0,00","2,70","703,70","598,00","7,98","19,32","20,69","8,99","34,37",désir,"3,59","1,96","1,00","7,00","3,50","6,00","0,39","2,00","5,00",NOM,"5,00","1,00","1,75","515,54","537,52","31,59","96,69","73,20","15,39","28,15"
amer-acide,bitter acid,"4,50","2,00",NA,"3,07","1,76","1,00","7,00","3,00","6,00","0,19","1,00","4,00",amer,"4,17","1,80","1,00","7,00","4,00","6,00","-0,14","3,00","5,00",ADJ,"4,00","3,00","1,45","705,87","612,51","5,82","11,69","11,01","3,97","6,87",acide,"4,82","1,87","1,00","7,00","5,00","6,00","-0,65","4,00","6,00",ADJ,"5,00","2,00","1,80","616,96","580,54","1,86","6,89","14,56","3,94","3,24"
amour-adoration,love adoration,"2,78","1,00",NA,"4,52","1,82","1,00","7,00","5,00","6,00","-0,69","3,75","6,00",amour,"2,53","1,71","1,00","7,00","2,00","6,00","0,93","1,00","4,00",NOM,"5,00","1,00","1,90","724,41","485,25","450,46","373,58","318,06","178,08","50,33",adoration,"3,03","1,60","1,00","7,00","3,00","6,00","0,91","2,00","4,00",NOM,"9,00","0,00","2,50","827,08","706,86","0,88","4,86","4,28","0,54","0,38"
ampoule-bougie,bulb candle,"6,75","3,00",NA,"3,43","1,82","1,00","7,00","4,00","6,00","0,02","2,00","5,00",ampoule,"6,78","0,75","3,00","7,00","7,00","4,00","-4,20","7,00","7,00",NOM,"7,00","1,00","2,35","589,25","569,79","4,80","11,49","3,03","4,15","0,67",bougie,"6,72","0,74","3,00","7,00","7,00","4,00","-3,95","7,00","7,00",NOM,"6,00","5,00","1,55","617,96","553,72","7,40","16,22","7,01","6,32","1,96"
analogie-exemple,analogy example,"3,36","1,00",NA,"3,29","1,67","1,00","6,00","3,00","5,00","0,02","2,00","5,00",analogie,"2,74","1,74","1,00","7,00","2,00","6,00","1,12","1,00","3,00",NOM,"8,00","1,00","2,60","804,46","655,68","0,84","1,49","4,34","1,44","0,96",exemple,"3,98","2,22","1,00","7,00","4,00","6,00","-0,03","2,00","6,00",NOM,"7,00","1,00","2,45","570,00","506,17","91,83","119,19","322,91","103,96","228,68"
anatomie-forme,anatomy shape,"5,05","2,00",NA,"3,36","1,71","1,00","7,00","3,00","6,00","0,00","2,00","5,00",anatomie,"5,82","1,31","1,00","7,00","6,00","6,00","-1,87","5,25","7,00",NOM,"8,00","0,00","2,70","692,46","566,21","3,37","4,66","3,37","2,28","0,76",forme,"4,27","1,66","1,00","7,00","4,00","6,00","0,15","3,00","5,00",NOM,"5,00","10,00","1,10","649,54","492,44","82,61","137,91","241,92","123,50","145,41"
ancre-grappin,anchor grapple,"5,54","3,00",NA,"2,38","1,51","1,00","6,00","2,00","5,00","0,88","1,00","3,00",ancre,"6,14","1,25","2,00","7,00","7,00","5,00","-1,75","6,00","7,00",NOM,"5,00","5,00","1,45","741,67","575,15","4,63","4,53","3,61","1,44","1,34",grappin,"4,94","1,91","1,00","7,00","5,50","6,00","-0,62","3,50","7,00",NOM,"7,00","0,00","2,45","841,28","679,71","1,36","0,68","0,42","0,22","0,18"
animal-bête,animal beast,"5,31","2,00","0,05","5,44","1,22","1,00","7,00","6,00","6,00","-1,34","5,00","6,00",animal,"6,14","1,26","2,00","7,00","7,00","5,00","-1,66","6,00","7,00",ADJ,"6,00","2,00","1,80","567,17","496,72","3,34","6,01","45,53","15,28","22,27",bête,"4,47","2,10","1,00","7,00","4,00","6,00","-0,15","3,00","7,00",ADJ,"4,00","8,00","1,55","586,75","498,21","51,33","33,31","43,14","54,94","11,46"
anormal-étrange,abnormal strange,"2,28","1,00","0,13","4,71","1,53","1,00","7,00","5,00","6,00","-0,88","4,00","6,00",anormal,"2,08","1,18","1,00","5,00","2,00","4,00","0,76","1,00","3,00",ADJ,"7,00","0,00","2,50","692,00","548,92","4,80","4,46","4,22","3,21","7,95",étrange,"2,49","1,57","1,00","7,00","2,00","6,00","1,27","1,00","3,00",ADJ,"7,00","0,00","1,85","632,79","541,02","70,99","83,65","66,62","43,74","13,59"
anxiété-crainte,anxiety fear,"3,14","1,00","0,12","5,00","1,35","2,00","7,00","5,00","5,00","-0,44","4,00","6,00",anxiété,"3,34","1,78","1,00","7,00","3,00","6,00","0,57","2,00","4,00",NOM,"7,00","0,00","2,85","645,88","526,44","2,92","9,86","4,79","0,61","2,34",crainte,"2,95","1,53","1,00","7,00","3,00","6,00","0,79","2,00","4,00",VER,"7,00","1,00","1,85","657,70","570,84","6,76","4,66","24,72","5,74","22,65"
apathie-ennui,apathy boredom,"3,00","1,00","0,03","3,27","1,83","1,00","7,00","3,00","6,00","0,33","2,00","5,00",apathie,"2,84","1,60","1,00","6,00","2,00","5,00","0,73","2,00","4,00",NOM,"7,00","0,00","2,45","772,44","663,39","0,91","1,49","1,88","2,96","1,32",ennui,"3,15","1,73","1,00","7,00","3,00","6,00","0,92","2,00","4,00",NOM,"5,00","1,00","1,85","660,64","525,65","14,76","38,24","17,96","14,34","3,30"
appartenir-dépendre,belong depend,"2,85","1,00",NA,"3,49","1,90","1,00","7,00","3,00","6,00","0,21","2,00","5,00",appartenir,"2,86","1,64","1,00","7,00","2,00","6,00","1,15","2,00","4,00",VER,"10,00","0,00","2,75","787,52",NA,"3,74","9,12","5,85","1,44","4,88",dépendre,"2,84","1,41","1,00","6,00","3,00","5,00","0,79","2,00","3,00",VER,"8,00","3,00","1,65","715,30","626,71","2,46","2,84","3,25","3,03","3,95"
apprendre-savoir,learn know,"3,48","1,00","0,03","3,98","2,01","1,00","7,00","4,00","6,00","0,03","3,00","6,00",apprendre,"3,79","1,68","1,00","7,00","4,00","6,00","0,00","2,00","5,00",VER,"9,00","1,00","1,95","635,46","530,65","101,76","71,22","87,30","104,58","32,47",savoir,"3,17","1,99","1,00","7,00","3,00","6,00","0,42","1,00","5,00",NOM,"6,00","4,00","1,70","724,24","518,60","37,27","40,95","331,59","286,24","235,66"
après-futur,after future,"3,13","1,00",NA,"4,73","1,88","1,00","7,00","5,00","6,00","-0,70","4,00","6,00",après,"3,77","2,11","1,00","7,00","3,00","6,00","0,18","2,00","6,00",ADV,"5,00","2,00","1,80","733,01","547,54","193,68","137,23","1016,40","1104,56","1556,37",futur,"2,49","1,68","1,00","7,00","2,00","6,00","1,09","1,00","4,00",ADJ,"5,00","0,00","1,90","585,92","510,05","9,41","13,92","64,37","78,68","71,20"
arbitraire-injuste,arbitrary unfair,"2,65","1,00",NA,"4,00","1,84","1,00","7,00","4,00","6,00","-0,18","2,75","5,00",arbitraire,"2,61","1,39","1,00","7,00","2,00","6,00","0,93","2,00","3,00",ADJ,"10,00","0,00","2,85","824,42",NA,"0,73","2,50","7,64","1,52","3,80",injuste,"2,69","1,64","1,00","7,00","2,00","6,00","1,01","1,50","4,00",ADJ,"7,00","0,00","2,10","636,57","534,35","15,94","13,38","12,38","11,05","17,22"
arbitre-juge,referee judge,"5,43","2,00","0,05","4,74","1,42","1,00","7,00","5,00","6,00","-0,79","4,00","5,50",arbitre,"5,50","1,33","3,00","7,00","6,00","4,00","-0,58","5,00","7,00",NOM,"7,00","1,00","2,10","715,00","617,74","6,92","5,20","8,92","18,57","28,79",juge,"5,35","1,50","2,00","7,00","6,00","5,00","-0,67","4,00","7,00",NOM,"4,00","6,00","1,40","575,00","529,28","56,40","29,80","61,46","22,79","187,88"
architecture-construction,architecture construction,"5,10","2,00",NA,"4,35","1,52","1,00","7,00","5,00","6,00","-0,70","3,00","5,00",architecture,"4,61","1,56","1,00","7,00","5,00","6,00","-0,35","4,00","6,00",NOM,"12,00","0,00","3,45","736,60",NA,"3,90","10,47","19,87","7,98","15,49",construction,"5,60","1,35","2,00","7,00","6,00","5,00","-0,83","5,00","7,00",NOM,"12,00","1,00","2,40","740,95",NA,"11,30","18,24","70,56","16,94","89,47"
argent-monnaie,money change,"5,84","3,00",NA,"6,13","0,79","4,00","7,00","6,00","3,00","-0,54","6,00","7,00",argent,"5,38","1,33","2,00","7,00","5,00","5,00","-0,46","4,50","6,50",ADJ,"6,00","4,00","1,60","610,19","528,34","9,41","6,22","182,04","105,01","178,35",monnaie,"6,31","1,09","2,00","7,00","7,00","5,00","-2,34","6,00","7,00",NOM,"7,00","1,00","1,90","607,55","544,31","26,82","25,34","57,12","14,12","49,80"
arrivée-approche,arrival approach,"3,60","1,00",NA,"3,83","1,68","1,00","7,00","4,00","6,00","-0,48","3,00","5,00",arrivée,"4,07","1,62","1,00","7,00","4,00","6,00","0,37","3,00","5,00",VER,"7,00","2,00","1,75","611,33","540,71","38,24","25,14","110,69","90,42","180,04",approche,"3,14","1,61","1,00","7,00","3,00","6,00","0,72","2,00","4,00",NOM,"8,00","2,00","1,65","680,00","530,45","27,47","22,30","68,10","44,68","46,65"
arrogance-vanité,arrogance vanity,"3,02","1,00",NA,"4,39","1,60","1,00","7,00","5,00","6,00","-0,80","3,00","5,00",arrogance,"3,19","1,85","1,00","7,00","3,00","6,00","1,09","2,00","3,25",NOM,"9,00","1,00","2,85","744,72","611,57","3,92","3,85","8,43","2,02","2,66",vanité,"2,84","1,40","1,00","7,00","2,00","6,00","0,87","2,00","4,00",NOM,"6,00","0,00","1,90","651,70","562,04","5,16","16,49","4,13","0,69","0,53"
artisanat-métier,craftsmanship job,"4,58","2,00",NA,"4,36","1,79","1,00","7,00","5,00","6,00","-0,55","3,50","5,50",artisanat,"4,52","1,81","1,00","7,00","5,00","6,00","-0,33","3,00","6,00",NOM,"9,00","1,00","2,60","766,26","694,02","0,77","1,15","3,79","1,99","7,28",métier,"4,63","1,84","1,00","7,00","4,50","6,00","-0,55","4,00","6,00",NOM,"6,00","1,00","1,85","620,60","558,96","53,22","75,54","55,63","49,81","59,27"
aspect-caractère,aspect nature,"3,19","1,00",NA,"3,24","1,97","1,00","7,00","3,00","6,00","0,17","1,00","5,00",aspect,"3,05","1,68","1,00","7,00","3,00","6,00","0,77","2,00","4,00",NOM,"6,00","0,00","2,50","694,76","508,07","9,88","36,01","52,12","9,64","21,98",caractère,"3,33","1,51","1,00","6,00","3,00","5,00","0,31","2,00","4,00",NOM,"9,00","0,00","2,85","619,83","555,21","17,22","47,50","70,95","15,97","51,35"
assigner-déléguer,assign delegate,"3,69","1,00","0,01","4,00","1,86","1,00","7,00","4,00","6,00","-0,38","3,00","5,00",assigner,"3,78","1,91","1,00","7,00","4,00","6,00","0,09","2,00","5,50",VER,"8,00","1,00","1,85",NA,NA,"0,68","0,74","1,15","0,54","1,49",déléguer,"3,61","1,83","1,00","7,00","3,00","6,00","0,47","2,00","5,00",VER,"8,00","1,00","2,00",NA,NA,"0,52","0,95","1,43","1,16","1,32"
assurance-sécurité,insurance security,"3,13","1,00","0,03","4,30","1,67","1,00","7,00","5,00","6,00","-0,56","4,00","5,00",assurance,"3,17","1,53","1,00","7,00","3,00","6,00","0,75","2,00","4,00",NOM,"9,00","0,00","2,65","724,48","543,61","24,30","25,14","31,76","19,58","75,32",sécurité,"3,10","1,80","1,00","7,00","3,00","6,00","0,43","1,50","4,50",NOM,"8,00","1,00","2,40","663,55","542,53","112,69","38,92","126,65","58,74","369,20"
astronaute-aviateur,astronaut aviator,"6,13","3,00",NA,"2,72","1,60","1,00","6,00","2,00","5,00","0,53","1,00","4,00",astronaute,"6,28","0,96","3,00","7,00","7,00","4,00","-1,48","6,00","7,00",NOM,"10,00","0,00","3,45","755,00",NA,"3,71","0,14","1,21","0,76","0,76",aviateur,"5,98","1,33","1,00","7,00","6,00","6,00","-2,06","5,50","7,00",NOM,"8,00","0,00","2,30","798,33","597,21","1,23","4,05","0,97","0,40","0,58"
astronomie-géologie,astronomy geology,"4,64","2,00",NA,"2,33","1,62","1,00","7,00","2,00","6,00","0,97","1,00","4,00",astronomie,"4,59","1,67","1,00","7,00","5,00","6,00","-0,29","4,00","6,00",NOM,"10,00","0,00","2,50","718,44",NA,"0,91","1,01","1,94","0,51","1,20",géologie,"4,70","1,63","1,00","7,00","5,00","6,00","-0,31","4,00","6,00",NOM,"8,00","1,00","2,25",NA,NA,"0,40","0,61","1,27","0,40","0,73"
atrocité-horreur,atrocity horror,"3,25","1,00",NA,"6,09","1,13","1,00","7,00","6,00","6,00","-2,13","6,00","7,00",atrocité,"3,50","1,89","1,00","7,00","3,00","6,00","0,56","2,00","5,00",NOM,"8,00","0,00","2,85",NA,NA,"0,96","0,74","0,79","0,18","0,29",horreur,"3,00","1,72","1,00","7,00","2,00","6,00","0,72","2,00","4,00",NOM,"7,00","0,00","2,10","634,22","500,47","39,79","61,35","41,68","38,40","10,76"
