sentences,status,target_item ,animacy,Spanish ,congruent-gender
Ya llegó __ woman que te ayuda. el/la,critical,woman,animate,mujer,feminine
Está feliz __ countess. el/la,critical,countess,animate,condesa,feminine
Trabaja mucho __ actress. el/la,critical,actress,animate,actriz,feminine
Aquí vive __ queen. el/la,critical,queen,animate,reina,feminine
Está feliz __ duchess. el/la,critical,duchess ,animate,duquesa,feminine
Aquí vive __ princess. el/la,critical,princess,animate,princesa,feminine
Ya se fue __ nun del convento. el/la,critical,nun,animate,monja,feminine
Lee mucho __ poetess. el/la,critical,poetess,animate,poetisa,feminine
Escribe mucho __ lady. el/la,critical,lady,animate,dama,feminine
Pasamos por __ gym. el/la,critical,gym,inanimate,gimnasio,masculine
Perdí __ file que necesitaba. el/la,critical,file,inanimate,archivo,masculine
Quiero trabajar en __ army. el/la,critical,army,inanimate,ejército,masculine
Susie no terminó __ study. el/la,critical,study,inanimate,estudio,masculine
Ya tengo __ ring. el/la,critical,ring,inanimate,anillo,masculine
El gato está en __ roof. el/la,critical,roof,inanimate,techo,masculine
Pasamos por __ town. el/la,critical,town,inanimate,pueblo,masculine
No encuentro __ book. el/la,critical,book,inanimate,libro,masculine
Me gusta __ dress de la Lupe. el/la,critical,dress,inanimate,vestido,masculine
Yo vivo en __ building de enfrente. el/la,critical,building,inanimate,edificio,masculine
Susie se ganó __ grant. el/la,critical,grant,inanimate,beca,feminine
Estamos en __ border. el/la,critical,border,inanimate,frontera,feminine
Me gusta __ movie de terror. el/la,critical,movie,inanimate,película,feminine
El perro salta __ fence. el/la,critical,fence,inanimate,cerca,feminine
Estoy en __ door. el/la,critical,door,inanimate,puerta,feminine
No me gustó __ party. el/la,critical,party,inanimate,fiesta,feminine
Ya tengo __ recipe. el/la,critical,recipe,inanimate,receta,feminine
Susie rompió __ window. el/la,critical,window,inanimate,ventana,feminine
No quiero hacer __ interview. el/la,critical,interview,inanimate,entrevista,feminine
No rompas __ table. el/la,critical,table,inanimate,mesa,feminine
Pasamos por __ tunnel. el/la,critical,tunnel,inanimate,túnel,masculine
Estoy en __ crosswalk. el/la,critical,crosswalk,inanimate,cruce,masculine
La Lupe rompió __ clock. el/la,critical,clock,inanimate,reloj,masculine
Ya estamos en __ plane. el/la,critical,plane,inanimate,avión,masculine
No encuentro __ charger. el/la,critical,charger,inanimate,cargador,masculine
Me quema mucho __ sun. el/la,critical,sun,inanimate,sol,masculine
El bebé juega con __ toy. el/la,critical,toy,inanimate,juguete,masculine
Pásame __ pencil. el/la,critical,pencil,inanimate,lápiz,masculine
Me gusta __ mattress. el/la,critical,matress,inanimate,colchón,masculine
Pásame __ fork por favor! el/la,critical,fork,inanimate,tenedor,masculine
No encuentra __ key. el/la,critical,key,inanimate,llave,feminine
Se me olvidó __ milk! el/la,critical,milk,inanimate,leche,feminine
Ponte loción para __ skin. el/la,critical,skin,inanimate,piel,feminine
Pasamos por __ jail. el/la,critical,jail,inanimate,cárcel,feminine
No me gusta __ snow.  el/la,critical,snow,inanimate,nieve,feminine
Me gusta __ honey con el té.  el/la,critical,honey,inanimate,miel,feminine
No respetan __ law. el/la,critical,law,inanimate,ley,feminine
Y pues no se cura __ cough. el/la,critical,cough,inanimate,tos,feminine
Se cayó __ cross de la iglesia. el/la,critical,cross,inanimate,cruz,feminine
Pásame __ salt por favor!  el/la,critical,salt,inanimate,sal,feminine
No quiere hacer __ laundry. mi/su,filler,laundry,inanimate,ropa,feminine 
No abre __ garage. mi/su,filler,garage,inanimate,cochera,masculine
Ella es __ witness.  mi/su,filler,witness,animate ,testigo,context-dependent
No le quites __ candy. mi/su,filler,candy,inanimate,caramelo,masculine
El profesor publicó __ research. mi/su,filler,research ,inanimate,investigation,feminine 
Frida Kahlo es __ artist favorita. mi/su,filler,artist,animate ,artista,context-dependent
Susie quiere __ coat. mi/su,filler,coat,inanimate,abrigo,masculine
No apliqué para __ internship. mi/su,filler,internship,inanimate,practica,feminine 
Salió con __ colleague. mi/su,filler,colleague,animate ,colega,context-dependent
El bebé busca __ bottle. mi/su,filler,bottle,inanimate,botella,feminine 
No llega __ host. mi/su,filler,host,animate ,huesped,context-dependent
El soldado rompió __ tent. mi/su,filler,tent,inanimate,tienda,feminine 
Susie ya completó __ major. mi/su,filler,major,inanimate,carrera,feminine 
Dios es __ prophet. mi/su,filler,prophet,animate ,profeta,context-dependent
No le gusta __ selfie. mi/su,filler,selfie,inanimate,auto foto,feminine 
Ya hablamos con __ coach. mi/su,filler,coach,animate ,entrenador,context-dependent
Ya tomó __ break. mi/su,filler,break,inanimate,recreo,masculine
Juan perdió __ Xbox. mi/su,filler,Xbox,inanimate,Xbox,masculine
Justin B. es __ singer favorito. mi/su,filler,singer,animate ,cantante,context-dependent
El estudiante tomó __ quiz. mi/su,filler,quiz,inanimate,examen,masculine
No encuentro __ ticket. mi/su,filler,ticket,inanimate,billete,masculine
No encuentra __ phone. mi/su,filler,phone,inanimate,telefono,masculine
Mi padre es __ hero! mi/su,filler,hero,animate ,heroe,context-dependent
No me gusta __ math class. mi/su,filler,class,inanimate,clase,feminine 
No sabe usar __ credit card. mi/su,filler,credit card,inanimate,tarjeta de credito,feminine 
No te comas __ apple. mi/su,filler,apple,inanimate,manazana,feminine 
Ya hablé con __ agent. mi/su,filler,agent,animate ,agente,context-dependent
No quiere __ coffee. mi/su,filler,coffee,inanimate,cafe,masculine
No insultes a __ friend. mi/su,filler,friend,animate ,amigo,context-dependent
El perro juega con __ leash. mi/su,filler,leash,inanimate,cadena,feminine 
Tengo una cita con __ advisor. mi/su,filler,advisor,animate ,tutor,context-dependent
Tengo una cita con __ doctor. mi/su,filler,doctor,animate ,doctor,context-dependent
El profesor busca __ tablet. mi/su,filler,tablet,inanimate,tableta,feminine 
No me gusta __ room. mi/su,filler,room,inanimate,cuarto,masculine
No encuentra __ truck. mi/su,filler,truck,inanimate,camion,masculine
No sabe __ password. mi/su,filler,password,inanimate,contrasena,feminine 
Me gusta __ car. mi/su,filler,car,inanimate,coche,masculine
Pasamos por __ house. mi/su,filler,house,inanimate,casa,feminine 
El rey está en __ castle. mi/su,filler,castle,inanimate,castillo,masculine
No uses __ brush! mi/su,filler,brush,inanimate,pincel,masculine
No encuentra __ mirror. mi/su,filler,mirror,inanimate,espejo,masculine
El cowboy usa __ rope. mi/su,filler,rope,inanimate,cuerda,feminine 
No le gusta __ website. mi/su,filler,website,inanimate,pagina,feminine 
Ya no funciona __ computer. mi/su,filler,computer,inanimate,computadora,feminine 
Perdí __ watch. mi/su,filler,watch,inanimate,reloj,masculine
Ya terminé __ homework. mi/su,filler,homework,inanimate,tarea,feminine
No te queda __ shirt. mi/su,filler,shirt,inanimate,camiseta,feminine
No le gusta __ drawing. mi/su,filler,drawing,inanimate,dibujo,masculine
Nunca lava __ sweater. mi/su,filler,sweater,inanimate,jersey,masculine
Susie compró __ suitcase. mi/su,filler,suitcase,inanimate,maleta,feminine
No te sientes en __ chair! mi/su,filler,chair,inanimate,silla,feminine 
Estoy en __ office. mi/su,filler,office,inanimate,oficina,feminine 
No se terminó __ sandwich. mi/su,filler,sandwich,inanimate,bocadillo,masculine
No encuentro __ card. mi/su,filler,card,inanimate,tarjeta de credito,feminine 
No encuentra __ towel. mi/su,filler,towel,inanimate,toalla,feminine 
El bebé perdió __ ball. mi/su,filler,ball,inanimate,pelota,feminine
El profesor no lee __ email. mi/su,filler,email,inanimate,correo electrónico,masculine
No encuentra __ belt. mi/su,filler,belt,inanimate,cinturon,masculine
El profesor publicó __ paper. mi/su,filler,paper,inanimate,papel,masculine
¿Dónde está __ essay? mi/su,filler,essay,inanimate,ensayo,masculine
¿Dónde está __ water bottle? mi/su,filler,bottle,inanimate,botella,feminine
No le gustó __ joke. mi/su,filler,joke,inanimate,broma,feminine 
Mándame __ check. mi/su,filler,check,inanimate,cheque,masculine
No quiero ver __ grade. mi/su,filler,grade,inanimate,grado,masculine
Juan perdió __ backpack. mi/su,filler,backpack,inanimate,mochila,feminine 
No encuentra __ bottle. mi/su,filler,bottle,inanimate,botella,feminine
No quiere abrir __ facebook. mi/su,filler,Facebook,inanimate,Facebook,masculine
No quiere abrir __ Instagram. mi/su,filler,Instagram,inanimate,Instagram,masculine
No abrieron __ bank. mi/su,filler,bank,inanimate,banco,masculine
No te comas __ cookie. mi/su,filler,cookie,inanimate,galleta,feminine 
Estoy terminando __ paper. mi/su,filler,paper,inanimate,papel,masculine
Estoy diseñando __ app. mi/su,filler,app,inanimate,application,feminine 
Estoy terminando __ application. mi/su,filler,application,inanimate,application,feminine 
El presidente nombró __ street. mi/su,filler,street,inanimate,calle,feminine 
No se sabe __ password. mi/su,filler,password,inanimate,contrasena,feminine
